DAIRA,COMMUNE,FORET,LONGITUDE,LATITUDE,DATE_DECL,HEURE_DECL,DATE_INT,HEURE_INT,DATE_EXT,HEURE_EXT,ESSENCE,TOT_FORET,TOT_MAQUIS,TOT_BROUSSAILLES,SURF_TOTAL,CAUSE,SIGNALE,ORGANISMES,DEGATS,DECL_YEAR,DECL_MONTH,DECL_DAY,INT_YEAR,INT_MONTH,INT_DAY,EXT_YEAR,EXT_MONTH,EXT_DAY,DECL_HOUR,INT_HOUR,EXT_HOUR,METEO_TEMP,METEO_VENTE_VITESSE,METEO_VENTE_DIRECTION,LOCATION_NAME
HAMMAM N'BAIL,HAMMAM N'BAILS,SFAHLI,,,2010-10-08 00:00:00,1899-12-31 12:30:00,2010-10-08 00:00:00,1899-12-31 12:30:00,2010-10-08 00:00:00,1899-12-31 13:58:00,CL,3,0,0,3,INC,PV,SF+PC,1200000,2010,10,8,2010,10,8,2010,10,8,12,12,13,24.43,6.57,S,
HAMMAM N'BAIL,HAMMAM N'BAILS,HOUZ EL HIMRE,,,2010-10-08 00:00:00,1899-12-31 11:00:00,2010-10-08 00:00:00,1899-12-31 11:00:00,2010-10-08 00:00:00,1899-12-31 11:40:00,BRS,0,0,1,1,INC,PV,SF+PC,100000,2010,10,8,2010,10,8,2010,10,8,11,11,11,24.43,6.57,S,
HELIOPOLIS,HELIOPOLIS,DJ BEZZIOUNE,,,2011-07-27 00:00:00,1899-12-31 13:20:00,2011-07-27 00:00:00,1899-12-31 13:30:00,2011-07-27 00:00:00,1899-12-31 14:45:00,EUC+REB,0.5,0,0,0.5,INC,BM,SF,200000,2011,7,27,2011,7,27,2011,7,27,13,13,14,39.3,16.8,S+E,
KHEZARA,BOUHACHANA,KEF MAKHDOUM,,,2011-08-07 00:00:00,1899-12-31 14:24:00,2011-08-07 00:00:00,1899-12-31 14:40:00,2011-08-08 00:00:00,1899-12-31 05:00:00,PA,1,0,0,1,INC,BM,SF+PC+DW+EAPC+POP,400000,2011,8,7,2011,8,7,2011,8,8,14,14,5,40.5,9.8,S+E,
AIN MAKHLOUF,AIN MAKHLOUF,DJ ONCEL,,,2011-08-13 00:00:00,1899-12-31 12:00:00,2011-08-13 00:00:00,1899-12-31 12:15:00,2011-08-14 00:00:00,1899-12-31 02:00:00,PA+EUC+REB,21.5,0,0,21.5,INC,BM,SF+PC+DW+EAPC+POP,8600000,2011,8,13,2011,8,13,2011,8,14,12,12,2,37.7,5.7,S+E,
HAMMAM DEBAGH,HAMMAM DEBAGH,BOUGHRESINE,,,2011-08-16 00:00:00,1899-12-31 12:25:00,2011-08-16 00:00:00,1899-12-31 12:40:00,2011-08-16 00:00:00,1899-12-31 14:45:00,MAQ,0,0.05,0,0.05,INC,PV,SF,1000,2011,8,16,2011,8,16,2011,8,16,12,12,14,36.9,8.4,S+E,
HAMMAM N'BAIL,OUED CHEHAM,FAUVEL,,,2011-08-16 00:00:00,1899-12-31 11:30:00,2011-08-16 00:00:00,1899-12-31 11:45:00,2011-08-16 00:00:00,1899-12-31 13:45:00,BRS,0,0,1,1,INC,BM,SF,10000,2011,8,16,2011,8,16,2011,8,16,11,11,13,36.9,8.4,S+E,
HAMMAM N'BAIL,OUED CHEHAM,OUED CHEHAM,,,2011-08-18 00:00:00,1899-12-31 12:15:00,2011-08-18 00:00:00,1899-12-31 12:30:00,2011-08-18 00:00:00,1899-12-31 18:30:00,CL,2.3,0,0,2.3,INC,BM,SF+PC,920000,2011,8,18,2011,8,18,2011,8,18,12,12,18,40.5,13.8,S+E,
BOUCHEGOUF,OUED FRAGHA,OUED FRAGHA,,,2011-08-19 00:00:00,1899-12-31 10:45:00,2011-08-19 00:00:00,1899-12-31 11:00:00,2011-08-19 00:00:00,1899-12-31 11:30:00,BRS,0,0,0.5,0.5,INC,BM,SF,5000,2011,8,19,2011,8,19,2011,8,19,10,11,11,41.2,11.2,S+E,
HAMMAM DEBAGH,BOUHAMDANE,SEBAA MZAZET,,,2011-08-20 00:00:00,1899-12-31 10:00:00,2011-08-20 00:00:00,1899-12-31 10:25:00,2011-08-20 00:00:00,1899-12-31 14:20:00,BRS,0,0,2.5,2.5,INC,BM,SF+PC+POP,25000,2011,8,20,2011,8,20,2011,8,20,10,10,14,39,11.2,S+E,
HAMMAM N'BAIL,OUED CHEHAM,FAUVEL,,,2011-08-23 00:00:00,1899-12-31 11:15:00,2011-08-23 00:00:00,1899-12-31 11:30:00,2011-08-23 00:00:00,1899-12-31 15:00:00,BRS,0,0,1,1,INC,BM,SF,10000,2011,8,23,2011,8,23,2011,8,23,11,11,15,37.5,7.1,S+E,
OUED ZENATI,BORDJ SABAT,KEF HADJAR,,,2011-08-31 00:00:00,1899-12-31 13:40:00,2011-08-31 00:00:00,1899-12-31 14:20:00,2011-08-31 00:00:00,1899-12-31 17:30:00,BRS,0,0,15,15,INC,BM,SF+PC+POP,150000,2011,8,31,2011,8,31,2011,8,31,13,14,17,40.1,11.2,S+E,
